,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borough code,Borough name,Ward Code,Ward name,Concerns,Consequence,Control,Population,Density,65+ age,Deprivation -2015,HR buildings,Heritage,local concerns,Student,crime,Over crowding,No central heat,older alone,Disability,Smokers,1 pump fires,2+ pump fires,1 pump special services,2+ pump special services,Fire casualties,Special services casualties,entry / exit,flooding,making safe,medical,rtc,Rescue / Release,1st pump attendance,2nd pump attendance,3rd pump attendance,HFSV,FSR Inspection,Visual audit
E09000002,Barking and Dagenham,E05000026,Abbey,31,26,58,15050,11731,704,66,13,8,30,2700,2352,253,185,209,405,1999,45,22,62,15,0,20,10,12,3,3,6,1,05:28,06:07,07:27,225,36,113
E09000002,Barking and Dagenham,E05000027,Alibon,27,9,47,11250,8245,1028,63,0,0,5,2650,883,74,92,402,625,1498,13,12,18,1,2,4,5,4,0,0,6,1,05:37,06:44,08:15,67,1,39
E09000002,Barking and Dagenham,E05000028,Becontree,31,13,47,15050,11684,1216,64,7,0,11,3150,1326,98,136,426,595,1884,14,14,25,9,2,11,4,7,0,0,11,0,06:24,06:56,09:00,103,18,37
E09000002,Barking and Dagenham,E05000029,Chadwell Heath,27,9,51,11000,3250,1556,67,2,10,11,2300,890,39,107,584,520,1421,15,12,22,5,2,1,2,6,0,1,9,0,06:43,07:39,06:36,199,15,42
E09000002,Barking and Dagenham,E05000030,Eastbrook,25,10,51,11050,3202,1512,64,2,6,15,2150,805,35,79,484,475,1542,21,15,15,6,5,2,3,6,1,2,2,0,05:02,05:43,09:03,156,11,44
E09000002,Barking and Dagenham,E05000031,Eastbury,29,16,51,12300,8546,1150,68,4,5,16,2600,1133,112,140,414,515,1697,27,13,39,12,0,9,5,12,1,1,14,0,05:19,06:41,06:49,85,8,53
E09000002,Barking and Dagenham,E05000032,Gascoigne,32,21,56,14600,12821,760,77,16,2,26,3750,1111,175,132,347,465,1621,33,18,85,15,1,5,15,20,0,2,9,0,04:37,05:39,07:41,136,20,122
E09000002,Barking and Dagenham,E05000033,Goresbrook,30,10,43,12450,9743,1290,66,0,0,5,3050,935,77,132,427,625,1629,23,9,15,8,2,7,5,3,1,0,6,0,06:38,07:12,11:14,93,10,28
E09000002,Barking and Dagenham,E05000034,Heath,31,23,54,11950,5971,1421,88,5,2,12,2700,1004,68,96,626,605,1527,17,11,59,8,8,10,14,16,2,2,7,3,04:00,05:34,08:38,253,11,44
E09000002,Barking and Dagenham,E05000035,Longbridge,25,11,48,12250,7446,1377,40,1,1,10,2400,740,123,71,441,395,1671,14,7,20,8,1,8,5,10,1,0,7,0,06:00,07:06,07:57,95,6,50
E09000002,Barking and Dagenham,E05000036,Mayesbrook,27,16,46,11350,6114,997,69,0,0,8,2800,835,98,100,473,590,1438,19,19,22,7,0,8,8,3,2,2,9,1,06:03,06:41,09:40,109,5,34
